date,symbol,spot,pc_oi_ratio,pc_vol_ratio,call_vol,put_vol,gex_proxy,atm_iv
2026-07-02,AAPL,0.0,,,0,0,0.0,
2026-07-02,NVDA,0.0,,,0,0,0.0,
2026-07-02,TSLA,0.0,,,0,0,0.0,
2026-07-02,MSFT,0.0,,,0,0,0.0,
2026-07-02,META,0.0,,,0,0,0.0,
2026-07-02,MSTR,0.0,,,0,0,0.0,
2026-07-02,ORCL,0.0,,,0,0,0.0,
2026-07-02,NFLX,0.0,,,0,0,0.0,
2026-07-02,AVGO,0.0,,,0,0,0.0,
2026-07-02,CRWD,0.0,,,0,0,0.0,
2026-07-03,AAPL,0.0,,,0,0,0.0,
2026-07-03,NVDA,0.0,,,0,0,0.0,
2026-07-03,TSLA,0.0,,,0,0,0.0,
2026-07-03,MSFT,0.0,,,0,0,0.0,
2026-07-03,META,0.0,,,0,0,0.0,
2026-07-03,MSTR,0.0,,,0,0,0.0,
2026-07-03,ORCL,0.0,,,0,0,0.0,
2026-07-03,NFLX,0.0,,,0,0,0.0,
2026-07-03,AVGO,0.0,,,0,0,0.0,
2026-07-03,CRWD,0.0,,,0,0,0.0,
2026-07-06,AAPL,313.63,,,0,0,0.0,
2026-07-06,NVDA,196.65,,,0,0,0.0,
2026-07-06,TSLA,417.32,,,0,0,0.0,
2026-07-06,MSFT,386.72,,,0,0,0.0,
2026-07-06,META,602.69,,,0,0,0.0,
2026-07-06,MSTR,101.52,,,0,0,0.0,
2026-07-06,ORCL,143.83,,,0,0,0.0,
2026-07-06,NFLX,75.91,,,0,0,0.0,
2026-07-06,AVGO,376.59,,,0,0,0.0,
2026-07-06,CRWD,199.47,,,0,0,0.0,
2026-07-07,AAPL,311.73,,,0,0,0.0,
2026-07-07,NVDA,196.03,,,0,0,0.0,
2026-07-07,TSLA,403.19,,,0,0,0.0,
2026-07-07,MSFT,389.13,,,0,0,0.0,
2026-07-07,META,614.5,,,0,0,0.0,
2026-07-07,MSTR,98.0,,,0,0,0.0,
2026-07-07,ORCL,140.51,,,0,0,0.0,
2026-07-07,NFLX,76.3,,,0,0,0.0,
2026-07-07,AVGO,368.58,,,0,0,0.0,
2026-07-07,CRWD,194.09,,,0,0,0.0,
2026-07-08,AAPL,313.11,,,0,0,0.0,
2026-07-08,NVDA,204.42,,,0,0,0.0,
2026-07-08,TSLA,393.68,,,0,0,0.0,
2026-07-08,MSFT,383.44,,,0,0,0.0,
2026-07-08,META,601.72,,,0,0,0.0,
2026-07-08,MSTR,94.52,,,0,0,0.0,
2026-07-08,ORCL,140.54,,,0,0,0.0,
2026-07-08,NFLX,76.0,,,0,0,0.0,
2026-07-08,AVGO,390.4,,,0,0,0.0,
2026-07-08,CRWD,191.13,,,0,0,0.0,
2026-07-09,AAPL,316.14,,,0,0,0.0,
2026-07-09,NVDA,203.96,,,0,0,0.0,
2026-07-09,TSLA,404.75,,,0,0,0.0,
2026-07-09,MSFT,383.35,,,0,0,0.0,
2026-07-09,META,627.65,,,0,0,0.0,
2026-07-09,MSTR,95.39,,,0,0,0.0,
2026-07-09,ORCL,144.72,,,0,0,0.0,
2026-07-09,NFLX,75.03,,,0,0,0.0,
2026-07-09,AVGO,401.81,,,0,0,0.0,
2026-07-09,CRWD,197.48,,,0,0,0.0,
2026-07-11,AAPL,0.0,,,0,0,0.0,
2026-07-11,NVDA,0.0,,,0,0,0.0,
2026-07-11,TSLA,0.0,,,0,0,0.0,
2026-07-11,MSFT,0.0,,,0,0,0.0,
2026-07-11,META,0.0,,,0,0,0.0,
2026-07-11,MSTR,0.0,,,0,0,0.0,
2026-07-11,ORCL,0.0,,,0,0,0.0,
2026-07-11,NFLX,0.0,,,0,0,0.0,
2026-07-11,AVGO,0.0,,,0,0,0.0,
2026-07-11,CRWD,0.0,,,0,0,0.0,
2026-07-13,AAPL,316.84,,,0,0,0.0,
2026-07-13,NVDA,204.03,,,0,0,0.0,
2026-07-13,TSLA,392.72,,,0,0,0.0,
2026-07-13,MSFT,390.51,,,0,0,0.0,
2026-07-13,META,658.08,,,0,0,0.0,
2026-07-13,MSTR,92.16,,,0,0,0.0,
2026-07-13,ORCL,131.69,,,0,0,0.0,
2026-07-13,NFLX,73.97,,,0,0,0.0,
2026-07-13,AVGO,385.62,,,0,0,0.0,
2026-07-13,CRWD,187.16,,,0,0,0.0,
2026-07-14,AAPL,314.84,,,0,0,0.0,
2026-07-14,NVDA,211.86,,,0,0,0.0,
2026-07-14,TSLA,396.17,,,0,0,0.0,
2026-07-14,MSFT,385.35,,,0,0,0.0,
2026-07-14,META,661.04,,,0,0,0.0,
2026-07-14,MSTR,97.52,,,0,0,0.0,
2026-07-14,ORCL,128.22,,,0,0,0.0,
2026-07-14,NFLX,73.52,,,0,0,0.0,
2026-07-14,AVGO,389.09,,,0,0,0.0,
2026-07-14,CRWD,210.78,,,0,0,0.0,
