date,symbol,short_ratio
2024-06-03,AAPL,0.5083278845452932
2024-06-03,META,0.4322043614850145
2024-06-03,MSFT,0.3249660132231587
2024-06-03,NVDA,0.4476982249745868
2024-06-03,TSLA,0.582437052222257
2024-06-04,AAPL,0.4251970505108234
2024-06-04,META,0.508988250744809
2024-06-04,MSFT,0.3062524527887226
2024-06-04,NVDA,0.4302149738737346
2024-06-04,TSLA,0.6308722291658279
2024-06-05,AAPL,0.3577853554420107
2024-06-05,META,0.4686061295274919
2024-06-05,MSFT,0.2952079369955871
2024-06-05,NVDA,0.4328569181793969
2024-06-05,TSLA,0.6209764659201048
2024-06-06,AAPL,0.4614190820666089
2024-06-06,META,0.4899462264302817
2024-06-06,MSFT,0.2470205689189052
2024-06-06,NVDA,0.4796020479320875
2024-06-06,TSLA,0.5056524625798614
2024-06-07,AAPL,0.5005415280000822
2024-06-07,META,0.5157246369354841
2024-06-07,MSFT,0.2211550498388809
2024-06-07,NVDA,0.4551002694129693
2024-06-07,TSLA,0.5091285820482297
2024-06-10,AAPL,0.504956766510128
2024-06-10,META,0.5143905184329641
2024-06-10,MSFT,0.3278912677863095
2024-06-10,NVDA,0.4654000325007884
2024-06-10,TSLA,0.5741598469843577
2024-06-11,AAPL,0.3958553768725235
2024-06-11,META,0.5768450768081168
2024-06-11,MSFT,0.2739953565546901
2024-06-11,NVDA,0.4467422549195093
2024-06-11,TSLA,0.6104416393448943
2024-06-12,AAPL,0.5247913056024687
2024-06-12,META,0.5164452374924076
2024-06-12,MSFT,0.4445797029380532
2024-06-12,NVDA,0.3833775623501102
2024-06-12,TSLA,0.4698517059664657
2024-06-13,AAPL,0.5438563831507975
2024-06-13,META,0.5042983628014331
2024-06-13,MSFT,0.4372696677904297
2024-06-13,NVDA,0.4447626205275613
2024-06-13,TSLA,0.5067301998826768
2024-06-14,AAPL,0.4557737398601624
2024-06-14,META,0.2628386571724186
2024-06-14,MSFT,0.4118203772220543
2024-06-14,NVDA,0.4533310427477478
2024-06-14,TSLA,0.6494274116207077
2024-06-17,AAPL,0.5817330949604355
2024-06-17,META,0.4890138794467986
2024-06-17,MSFT,0.3525666691593426
2024-06-17,NVDA,0.4745769035094535
2024-06-17,TSLA,0.6593896943081483
2024-06-18,AAPL,0.5681838930911405
2024-06-18,META,0.5181472613597182
2024-06-18,MSFT,0.2973455436471923
2024-06-18,NVDA,0.4471114350980926
2024-06-18,TSLA,0.6326881423621854
2024-06-20,AAPL,0.5013462645022358
2024-06-20,META,0.5225040505191934
2024-06-20,MSFT,0.3851040731279115
2024-06-20,NVDA,0.4392017636246527
