ts,feed,symbol,best_bid,best_ask,mid,microprice,spread,spread_bps,bid_sz,ask_sz,imb_top,bid_depth,ask_depth,imb_depth,n_bid,n_ask
2026-07-06T12:40:57,alpaca-crypto,BTC/USD,63706.848,63769.2,63738.024,63738.05239,62.352,9.782544,0.78368,0.782254,0.000911,46.462101,48.230799,-0.018678,100,63
2026-07-06T12:40:59,alpaca-crypto,BTC/USD,63700.87,63777.764,63739.317,63739.307689,76.894,12.063826,0.7844,0.78478,-0.000242,46.460971,48.215545,-0.018532,100,63
2026-07-06T12:41:01,alpaca-crypto,BTC/USD,63700.87,63777.764,63739.317,63739.307689,76.894,12.063826,0.7844,0.78478,-0.000242,46.460971,48.215545,-0.018532,100,63
2026-07-06T12:41:04,alpaca-crypto,BTC/USD,63701.8,63764.46,63733.13,63732.861947,62.66,9.831621,0.7706,0.7839,-0.008556,46.433791,48.234175,-0.019018,100,63
