ts,feed,symbol,best_bid,best_ask,mid,microprice,spread,spread_bps,bid_sz,ask_sz,imb_top,bid_depth,ask_depth,imb_depth,n_bid,n_ask
2026-07-07T10:42:02,alpaca-crypto,ETH/USD,1803.893,1806.1,1804.9965,1805.005928,2.207,12.227171,10.135,9.96328,0.008544,779.09646,773.846399,0.003381,51,53
2026-07-07T10:42:03,alpaca-crypto,ETH/USD,1803.893,1806.1,1804.9965,1805.005928,2.207,12.227171,10.135,9.96328,0.008544,779.09646,773.846399,0.003381,51,53
