ts,symbol,cvd_session,cvd_1m,imbalance,vol_session,trades_n,blocks_n
2026-07-27T06:31:05,AAPL,3533,3533,0.0,8751,166,0
2026-07-27T06:31:05,NVDA,395,395,0.0,35605,300,0
2026-07-27T06:31:05,TSLA,4667,4667,0.0,19429,216,0
2026-07-27T06:31:05,MSFT,8229,8229,0.7143,15643,218,0
2026-07-27T06:31:05,META,-1040,-1040,0.0,4212,156,0
2026-07-27T06:31:05,MSTR,1841,1841,0.0,1994,28,0
2026-07-27T06:31:05,ORCL,237,237,0.0,237,8,0
2026-07-27T06:31:05,NFLX,2989,2989,0.1429,7093,72,0
2026-07-27T06:31:05,AVGO,578,578,0.0,1026,30,0
2026-07-27T06:31:05,CRWD,257,257,-0.3333,1273,28,0
2026-07-27T06:32:05,AAPL,2634,-899,-0.3333,39428,464,0
2026-07-27T06:32:05,NVDA,6226,5831,0.3333,50636,477,0
2026-07-27T06:32:05,TSLA,3684,-983,0.0,22032,295,0
2026-07-27T06:32:05,MSFT,10452,2223,-0.3333,26212,373,0
2026-07-27T06:32:05,META,-2289,-1249,0.0,5621,190,0
2026-07-27T06:32:05,MSTR,1533,-308,0.0,2302,34,0
2026-07-27T06:32:05,ORCL,-7235,-7472,-0.9048,9405,138,0
2026-07-27T06:32:05,NFLX,5213,2224,-0.7143,10899,123,0
2026-07-27T06:32:05,AVGO,833,255,0.0,1975,51,0
2026-07-27T06:32:05,CRWD,-338,-595,-0.3333,1988,49,0
2026-07-27T06:33:05,AAPL,1808,-826,0.0,56042,649,0
2026-07-27T06:33:05,NVDA,13113,6887,-0.3333,76597,721,0
2026-07-27T06:33:05,TSLA,5265,1581,-0.3333,25421,352,0
2026-07-27T06:33:05,MSFT,14692,4240,0.0,31848,490,0
2026-07-27T06:33:05,META,-2969,-680,0.0,6383,204,0
2026-07-27T06:33:05,MSTR,497,-1036,0.0,3338,53,0
2026-07-27T06:33:05,ORCL,-13468,-6233,-0.3333,24870,284,0
2026-07-27T06:33:05,NFLX,7249,2036,0.2308,16709,171,0
2026-07-27T06:33:05,AVGO,1228,395,0.0,3058,74,0
2026-07-27T06:33:05,CRWD,-1401,-1063,-0.3333,3131,70,0
2026-07-27T06:34:05,AAPL,3019,1211,0.0,60591,756,0
2026-07-27T06:34:05,NVDA,14123,1010,0.3333,100175,1011,0
2026-07-27T06:34:05,TSLA,7189,1924,0.0,31083,435,0
2026-07-27T06:34:05,MSFT,15954,1262,0.0,33580,543,0
2026-07-27T06:34:05,META,-3698,-729,0.0,7198,233,0
2026-07-27T06:34:05,MSTR,1307,810,0.0,4258,68,0
2026-07-27T06:34:05,ORCL,-19579,-6111,-0.9048,39911,428,0
2026-07-27T06:34:05,NFLX,6390,-859,-0.7143,19048,199,0
2026-07-27T06:34:05,AVGO,1382,154,0.0,3212,78,0
