ts,symbol,cvd_session,cvd_1m,imbalance,vol_session,trades_n,blocks_n
2026-07-02T10:11:03,AAPL,2566,2566,0.0,5026,80,0
2026-07-02T10:11:03,NVDA,531,531,0.0909,9217,121,0
2026-07-02T10:11:03,TSLA,-2587,-2587,-0.3333,2821,54,0
2026-07-02T10:11:03,MSFT,2526,2526,0.0,3404,37,0
2026-07-02T10:11:03,META,224,224,0.0,706,18,0
2026-07-02T10:11:03,MSTR,696,696,-0.3333,712,16,0
2026-07-02T10:11:03,ORCL,-293,-293,0.3333,715,11,0
2026-07-02T10:11:03,NFLX,1116,1116,0.3333,10658,75,0
2026-07-02T10:11:03,AVGO,-87,-87,-0.3333,809,32,0
2026-07-02T10:11:03,CRWD,-143,-143,0.3333,675,21,0
2026-07-02T10:12:03,AAPL,9147,6581,-0.3333,17817,264,0
2026-07-02T10:12:03,NVDA,342,-189,0.0,20422,255,0
2026-07-02T10:12:03,TSLA,-3961,-1374,0.0,4475,93,0
2026-07-02T10:12:03,MSFT,3138,612,0.0,5144,72,0
2026-07-02T10:12:03,META,-3698,-3922,-0.3333,5148,82,0
2026-07-02T10:12:03,MSTR,86,-610,-0.3333,1340,30,0
2026-07-02T10:12:03,ORCL,-144,149,0.0,1464,23,0
2026-07-02T10:12:03,NFLX,913,-203,-0.3333,24783,172,0
2026-07-02T10:12:03,AVGO,-321,-234,-0.3333,1043,47,0
2026-07-02T10:12:03,CRWD,-197,-54,0.0,929,27,0
2026-07-02T10:13:03,AAPL,19047,9900,0.3333,37673,406,1
2026-07-02T10:13:03,NVDA,5023,4681,-0.5,30937,364,0
2026-07-02T10:13:03,TSLA,-6188,-2227,0.6,6702,134,0
2026-07-02T10:13:03,MSFT,5245,2107,0.0,7413,122,0
2026-07-02T10:13:03,META,-4107,-409,0.0,5785,103,0
2026-07-02T10:13:03,MSTR,700,614,-0.3333,2354,41,0
2026-07-02T10:13:03,ORCL,703,847,0.0,2911,43,0
2026-07-02T10:13:03,NFLX,1771,858,-0.3333,36159,273,0
2026-07-02T10:13:03,AVGO,207,528,0.0,2153,76,0
2026-07-02T10:13:03,CRWD,-402,-205,0.0,1134,36,0
2026-07-02T10:14:03,AAPL,20128,1081,0.3333,42506,483,0
2026-07-02T10:14:03,NVDA,1695,-3328,0.6667,49881,582,0
2026-07-02T10:14:03,TSLA,-8740,-2552,0.6,9332,170,0
2026-07-02T10:14:03,MSFT,5912,667,0.0,9372,184,0
2026-07-02T10:14:03,META,-3837,270,-0.3333,6591,125,0
2026-07-02T10:14:03,MSTR,1032,332,-0.3333,2884,51,0
2026-07-02T10:14:03,ORCL,385,-318,0.3333,5831,70,0
2026-07-02T10:14:03,NFLX,3334,1563,-0.4667,43802,352,0
2026-07-02T10:14:03,AVGO,386,179,-0.3333,3356,111,0
2026-07-02T10:14:03,CRWD,-941,-539,0.0,1673,43,0
2026-07-02T10:15:03,AAPL,14958,-5170,-0.3333,54298,634,0
2026-07-02T10:15:03,NVDA,3869,2174,-0.75,60593,719,0
2026-07-02T10:15:03,TSLA,-10615,-1875,0.0,11463,210,0
2026-07-02T10:15:03,MSFT,7079,1167,-0.3333,11275,222,0
2026-07-02T10:15:03,META,-4541,-704,-0.3333,7295,142,0
2026-07-02T10:15:03,MSTR,588,-444,0.0,3784,63,0
2026-07-02T10:15:03,ORCL,51,-334,0.0,6467,81,0
2026-07-02T10:15:03,NFLX,5808,2474,0.0588,50516,420,0
2026-07-02T10:15:03,AVGO,1327,941,-0.5,5603,136,0
2026-07-02T10:15:03,CRWD,-1171,-230,0.0,2063,57,0
2026-07-02T10:16:03,AAPL,12801,-2157,0.0,63815,751,0
2026-07-02T10:16:03,NVDA,4678,809,0.1667,66676,782,0
2026-07-02T10:16:03,TSLA,-12572,-1957,0.3333,14016,259,0
2026-07-02T10:16:03,MSFT,7757,678,-0.6,14393,257,0
2026-07-02T10:16:03,META,-4757,-216,0.4286,7511,149,0
2026-07-02T10:16:03,MSTR,528,-60,-0.3333,4064,69,0
2026-07-02T10:16:03,ORCL,485,434,0.0,7101,92,0
2026-07-02T10:16:03,NFLX,7942,2134,-0.5,61330,524,0
2026-07-02T10:16:03,AVGO,930,-397,-0.2,6080,148,0
2026-07-02T10:16:03,CRWD,-1419,-248,0.0,2311,66,0
2026-07-02T10:17:03,AAPL,8791,-4010,0.0,80699,907,1
2026-07-02T10:17:03,NVDA,6924,2246,0.1429,77180,911,0
2026-07-02T10:17:03,TSLA,-15357,-2785,0.0,17331,314,0
2026-07-02T10:17:03,MSFT,7241,-516,0.0,20771,348,0
2026-07-02T10:17:03,META,-4980,-223,0.6667,8428,179,0
2026-07-02T10:17:03,MSTR,621,93,-0.3333,4357,75,0
2026-07-02T10:17:03,ORCL,397,-88,0.0,7709,105,0
2026-07-02T10:17:03,NFLX,10400,2458,-0.2,66440,588,0
2026-07-02T10:17:03,AVGO,576,-354,0.0,7040,171,0
2026-07-02T10:17:03,CRWD,-1861,-442,0.0,2753,85,0
2026-07-02T10:18:03,AAPL,8367,-424,0.0,85707,997,0
2026-07-02T10:18:03,NVDA,7779,855,0.4545,83343,998,0
2026-07-02T10:18:03,TSLA,-16639,-1282,0.0,21267,390,0
2026-07-02T10:18:03,MSFT,6534,-707,0.0,25766,423,0
2026-07-02T10:18:03,META,-4429,551,0.6667,9313,200,0
2026-07-02T10:18:03,MSTR,1421,800,-0.3333,5757,97,0
2026-07-02T10:18:03,ORCL,1001,604,0.0,8785,122,0
2026-07-02T10:18:03,NFLX,10233,-167,0.2,71205,642,0
2026-07-02T10:18:03,AVGO,-198,-774,-0.3333,8566,205,0
2026-07-02T10:18:03,CRWD,-2043,-182,-0.6667,3107,97,0
2026-07-02T10:19:03,AAPL,10485,2118,0.0,91825,1085,0
2026-07-02T10:19:03,NVDA,7628,-151,-0.5,89928,1084,0
2026-07-02T10:19:03,TSLA,-16502,137,0.6,23720,449,0
2026-07-02T10:19:03,MSFT,7012,478,0.0,31012,518,0
2026-07-02T10:19:03,META,-4418,11,0.3333,10152,223,0
2026-07-02T10:19:03,MSTR,2317,896,-0.3333,6653,111,0
2026-07-02T10:19:03,ORCL,1508,507,0.0,10900,145,0
2026-07-02T10:19:03,NFLX,9615,-618,-0.5714,75763,680,0
2026-07-02T10:19:03,AVGO,-494,-296,0.0,8862,213,0
2026-07-02T10:19:03,CRWD,-2324,-281,-0.6667,3388,107,0
2026-07-02T10:20:03,AAPL,12218,1733,0.3333,102014,1225,0
2026-07-02T10:20:03,NVDA,6014,-1614,-0.4286,102622,1209,0
2026-07-02T10:20:03,TSLA,-18299,-1797,0.7778,25919,495,0
2026-07-02T10:20:03,MSFT,5901,-1111,0.0,32447,551,0
2026-07-02T10:20:03,META,-4166,252,0.0,11554,270,0
2026-07-02T10:20:03,MSTR,1867,-450,-0.3333,7783,125,0
2026-07-02T10:20:03,ORCL,1817,309,0.0,11409,152,0
2026-07-02T10:20:03,NFLX,12439,2824,-0.5,82007,751,0
2026-07-02T10:20:03,AVGO,-2144,-1650,0.0,10782,250,0
2026-07-02T10:20:03,CRWD,-2547,-223,-0.6667,3611,114,0
2026-07-02T10:21:03,AAPL,13846,1628,-0.5,112936,1372,0
