ts,symbol,cvd_session,cvd_1m,imbalance,vol_session,trades_n,blocks_n
2026-07-29T06:31:05,AAPL,5348,5348,-0.5,33914,530,0
2026-07-29T06:31:05,NVDA,-3421,-3421,0.0,26017,217,0
2026-07-29T06:31:05,TSLA,238,238,0.0,2898,59,0
2026-07-29T06:31:05,MSFT,1424,1424,0.0,7524,121,0
2026-07-29T06:31:05,META,-6459,-6459,0.6,8351,131,0
2026-07-29T06:31:05,MSTR,-1252,-1252,0.0,1252,34,0
2026-07-29T06:31:05,ORCL,664,664,0.0,764,12,0
2026-07-29T06:31:05,NFLX,12344,12344,-0.6667,21594,196,0
2026-07-29T06:31:05,AVGO,1390,1390,-0.3333,1682,50,0
2026-07-29T06:31:05,CRWD,432,432,0.0,510,9,0
2026-07-29T06:32:05,AAPL,11213,5865,0.5,48631,683,0
2026-07-29T06:32:05,NVDA,7353,10774,0.0,51787,394,1
2026-07-29T06:32:05,TSLA,-226,-464,0.3333,6584,152,0
2026-07-29T06:32:05,MSFT,2427,1003,0.0,14735,270,0
2026-07-29T06:32:05,META,-7914,-1455,0.0,11378,217,0
2026-07-29T06:32:05,MSTR,-720,532,0.0,2092,55,0
2026-07-29T06:32:05,ORCL,605,-59,-0.0476,2453,39,0
2026-07-29T06:32:05,NFLX,14125,1781,0.0909,26911,240,0
2026-07-29T06:32:05,AVGO,2446,1056,0.0,5244,129,0
2026-07-29T06:32:05,CRWD,788,356,0.0,896,18,0
2026-07-29T06:33:05,AAPL,12709,1496,-0.3333,54263,761,0
2026-07-29T06:33:05,NVDA,10219,2866,-0.5,67131,542,0
2026-07-29T06:33:05,TSLA,118,344,0.0,12446,279,0
2026-07-29T06:33:05,MSFT,3670,1243,-0.3333,19678,367,0
2026-07-29T06:33:05,META,-8996,-1082,0.0,13848,281,0
2026-07-29T06:33:05,MSTR,799,1519,0.0,3611,83,0
2026-07-29T06:33:05,ORCL,-353,-958,0.0,6823,98,0
2026-07-29T06:33:05,NFLX,16635,2510,0.6667,36983,310,0
2026-07-29T06:33:05,AVGO,2867,421,0.0,6221,159,0
2026-07-29T06:33:05,CRWD,960,172,0.0,1068,22,0
2026-07-29T06:34:05,AAPL,14086,1377,0.0,61882,852,0
2026-07-29T06:34:05,NVDA,15341,5122,-0.5,84067,689,0
2026-07-29T06:34:05,TSLA,-524,-642,0.6,15732,352,0
2026-07-29T06:34:05,MSFT,5232,1562,0.3333,25176,468,0
2026-07-29T06:34:05,META,-9585,-589,0.0,15929,339,0
2026-07-29T06:34:05,MSTR,2193,1394,0.0,5005,112,0
2026-07-29T06:34:05,ORCL,130,483,0.0,7306,108,0
2026-07-29T06:34:05,NFLX,19049,2414,0.6,51349,408,0
2026-07-29T06:34:05,AVGO,3445,578,0.0,7973,201,0
2026-07-29T06:34:05,CRWD,1580,620,0.0,1688,31,0
2026-07-29T06:35:05,AAPL,11916,-2170,0.3333,67956,928,0
2026-07-29T06:35:05,NVDA,16270,929,0.0,94368,879,0
2026-07-29T06:35:05,TSLA,-1217,-693,0.0,20121,433,0
2026-07-29T06:35:05,MSFT,6393,1161,0.0,30347,570,0
2026-07-29T06:35:05,META,-12183,-2598,0.0,19097,411,0
2026-07-29T06:35:05,MSTR,4538,2345,0.0,7350,150,0
2026-07-29T06:35:05,ORCL,2240,2110,0.0,10806,150,0
2026-07-29T06:35:05,NFLX,17671,-1378,0.0769,59725,475,0
2026-07-29T06:35:05,AVGO,4980,1535,0.0,9588,236,0
2026-07-29T06:35:05,CRWD,1912,332,0.0,2180,44,0
2026-07-29T06:36:05,AAPL,10785,-1131,0.0,76465,1038,0
2026-07-29T06:36:05,NVDA,18499,2229,-0.3333,103251,1003,0
2026-07-29T06:36:05,TSLA,-2850,-1633,0.0,24420,535,0
2026-07-29T06:36:05,MSFT,6112,-281,0.0,34434,661,0
2026-07-29T06:36:05,META,-14767,-2584,0.0,23583,499,0
2026-07-29T06:36:05,MSTR,4801,263,0.3333,9511,204,0
2026-07-29T06:36:05,ORCL,1412,-828,-0.8182,12050,166,0
2026-07-29T06:36:05,NFLX,18584,913,0.1111,71614,557,0
2026-07-29T06:36:05,AVGO,6462,1482,0.0,11670,288,0
2026-07-29T06:36:05,CRWD,2133,221,0.0,3019,59,0
2026-07-29T06:37:05,AAPL,11063,278,0.0,88493,1215,0
2026-07-29T06:37:05,NVDA,21413,2914,0.0,115191,1151,0
2026-07-29T06:37:05,TSLA,-3727,-877,0.0,27035,600,0
2026-07-29T06:37:05,MSFT,5671,-441,-0.6,39161,767,0
2026-07-29T06:37:05,META,-16263,-1496,0.0,25165,559,0
2026-07-29T06:37:05,MSTR,5562,761,0.0,11304,227,0
2026-07-29T06:37:05,ORCL,-646,-2058,0.0,14108,199,0
2026-07-29T06:37:05,NFLX,20698,2114,-0.0909,78010,605,0
2026-07-29T06:37:05,AVGO,5919,-543,0.0,13463,328,0
2026-07-29T06:37:05,CRWD,2317,184,0.0,3203,64,0
2026-07-29T06:38:05,AAPL,10526,-537,0.3333,94362,1304,0
2026-07-29T06:38:05,NVDA,21642,229,0.0,130882,1333,0
2026-07-29T06:38:05,TSLA,-3289,438,0.0,28825,635,0
2026-07-29T06:38:05,MSFT,5880,209,0.0,42904,851,0
2026-07-29T06:38:05,META,-17739,-1476,0.0,26743,607,0
2026-07-29T06:38:05,MSTR,6667,1105,0.0,12409,241,0
2026-07-29T06:38:05,ORCL,-2128,-1482,0.0,15590,230,0
2026-07-29T06:38:05,NFLX,20638,-60,0.0667,85676,663,0
2026-07-29T06:38:05,AVGO,5462,-457,0.0,15222,371,0
2026-07-29T06:38:05,CRWD,1838,-479,0.0,3682,72,0
2026-07-29T06:39:05,AAPL,10843,317,0.5,98241,1377,0
2026-07-29T06:39:05,NVDA,23944,2302,0.3333,142406,1488,0
2026-07-29T06:39:05,TSLA,-2953,336,0.3333,32869,725,0
2026-07-29T06:39:05,MSFT,6282,402,0.0,46542,933,0
2026-07-29T06:39:05,META,-19551,-1812,0.0,29037,670,0
2026-07-29T06:39:05,MSTR,8064,1397,0.0,14120,276,0
2026-07-29T06:39:05,ORCL,-3159,-1031,0.0,16821,245,0
2026-07-29T06:39:05,NFLX,22550,1912,0.7143,93110,720,0
2026-07-29T06:39:05,AVGO,5587,125,0.0,16103,392,0
