ts,symbol,cvd_session,cvd_1m,imbalance,vol_session,trades_n,blocks_n
2026-07-31T06:31:05,AAPL,18654,18654,0.8333,106434,1136,0
2026-07-31T06:31:05,NVDA,991,991,0.0,28737,366,0
2026-07-31T06:31:05,TSLA,48,48,0.0,4464,100,0
2026-07-31T06:31:05,MSFT,2324,2324,-0.5,24956,267,0
2026-07-31T06:31:05,META,-10838,-10838,0.0,12790,275,0
2026-07-31T06:31:05,MSTR,862,862,-0.3333,3822,44,0
2026-07-31T06:31:05,ORCL,-5144,-5144,0.5,11654,115,0
2026-07-31T06:31:05,NFLX,-5658,-5658,-0.6667,24170,156,0
2026-07-31T06:31:05,AVGO,-2116,-2116,0.0,2148,66,0
2026-07-31T06:31:05,CRWD,1290,1290,0.0,3570,43,0
2026-07-31T06:32:05,AAPL,38033,19379,0.0,196693,2417,0
2026-07-31T06:32:05,NVDA,19693,18702,0.0,67683,726,0
2026-07-31T06:32:05,TSLA,-2993,-3041,-0.3333,9113,179,0
2026-07-31T06:32:05,MSFT,-12522,-14846,-0.9412,51828,614,0
2026-07-31T06:32:05,META,-15724,-4886,0.0,18698,414,0
2026-07-31T06:32:05,MSTR,-2237,-3099,-0.3333,6921,92,0
2026-07-31T06:32:05,ORCL,-10420,-5276,-0.5385,28490,239,0
2026-07-31T06:32:05,NFLX,-6309,-651,0.1667,34019,254,0
2026-07-31T06:32:05,AVGO,2066,4182,0.0,6442,175,0
2026-07-31T06:32:05,CRWD,2080,790,0.0,8188,106,0
2026-07-31T06:33:05,AAPL,42334,4301,0.2,293620,3491,0
2026-07-31T06:33:05,NVDA,21376,1683,0.0,95384,1064,0
2026-07-31T06:33:05,TSLA,1637,4630,0.5,17209,312,0
2026-07-31T06:33:05,MSFT,-24933,-12411,-0.9412,70993,903,0
2026-07-31T06:33:05,META,-34217,-18493,0.3333,37557,771,0
2026-07-31T06:33:05,MSTR,-3847,-1610,-0.3333,8531,123,0
2026-07-31T06:33:05,ORCL,-14637,-4217,-0.5385,33969,289,0
2026-07-31T06:33:05,NFLX,-4393,1916,-0.7143,47923,413,0
2026-07-31T06:33:05,AVGO,3096,1030,0.0,9802,247,0
2026-07-31T06:33:05,CRWD,1126,-954,0.5,10966,150,0
2026-07-31T06:34:05,AAPL,34724,-7610,-0.3333,354192,4539,0
2026-07-31T06:34:05,NVDA,24579,3203,0.0,119155,1383,0
2026-07-31T06:34:05,TSLA,3268,1631,-0.6,20624,395,0
2026-07-31T06:34:05,MSFT,-30296,-5363,-0.9412,80544,1066,0
2026-07-31T06:34:05,META,-40879,-6662,0.0,47233,945,0
2026-07-31T06:34:05,MSTR,-6008,-2161,-0.3333,10692,150,0
2026-07-31T06:34:05,ORCL,-11767,2870,-0.8182,39031,337,0
2026-07-31T06:34:05,NFLX,-1998,2395,0.75,56046,519,0
2026-07-31T06:34:05,AVGO,4191,1095,0.0,11933,318,0
2026-07-31T06:34:05,CRWD,1531,405,0.0,12223,175,0
2026-07-31T06:35:05,AAPL,12126,-22598,0.6,417638,5369,0
2026-07-31T06:35:05,NVDA,24662,83,-0.3333,148440,1734,0
2026-07-31T06:35:05,TSLA,4382,1114,-0.7778,24948,487,0
2026-07-31T06:35:05,MSFT,-40686,-10390,0.0,97130,1259,0
2026-07-31T06:35:05,META,-46045,-5166,0.0,59437,1163,0
2026-07-31T06:35:05,MSTR,-6712,-704,-0.3333,12206,170,0
2026-07-31T06:35:05,ORCL,-9207,2560,-0.8182,48955,411,0
2026-07-31T06:35:05,NFLX,1340,3338,0.0,68854,643,0
2026-07-31T06:35:05,AVGO,6684,2493,0.0,19168,478,0
2026-07-31T06:35:05,CRWD,2585,1054,0.5,13759,198,0
2026-07-31T06:36:05,AAPL,10653,-1473,0.0,453287,5982,0
2026-07-31T06:36:05,NVDA,22789,-1873,0.0,188127,2216,0
2026-07-31T06:36:05,TSLA,5769,1387,0.0,35543,633,0
2026-07-31T06:36:05,MSFT,-45014,-4328,-0.9412,112372,1536,0
2026-07-31T06:36:05,META,-52542,-6497,0.0,67448,1283,0
2026-07-31T06:36:05,MSTR,-8362,-1650,-0.3333,14456,206,0
2026-07-31T06:36:05,ORCL,-12611,-3404,-0.8182,54231,464,0
2026-07-31T06:36:05,NFLX,7636,6296,-0.4286,88694,823,0
2026-07-31T06:36:05,AVGO,11219,4535,0.0,25159,592,0
2026-07-31T06:36:05,CRWD,2561,-24,0.0,15259,231,0
2026-07-31T06:37:05,AAPL,29008,18355,0.3333,492786,6688,0
2026-07-31T06:37:05,NVDA,32881,10092,0.0,216493,2629,0
2026-07-31T06:37:05,TSLA,5775,6,0.5,38245,710,0
2026-07-31T06:37:05,MSFT,-40982,4032,-0.3333,133156,1840,0
2026-07-31T06:37:05,META,-51336,1206,0.0,79322,1488,0
2026-07-31T06:37:05,MSTR,-9505,-1143,-0.3333,15599,272,0
2026-07-31T06:37:05,ORCL,-4801,7810,-0.8182,65023,562,0
2026-07-31T06:37:05,NFLX,13080,5444,0.3333,99638,928,0
2026-07-31T06:37:05,AVGO,12287,1068,0.0,26707,635,0
2026-07-31T06:37:05,CRWD,2725,164,-0.3333,16733,262,0
2026-07-31T06:38:05,AAPL,45960,16952,0.0,537972,7391,0
2026-07-31T06:38:05,NVDA,37986,5105,0.0,237046,2921,0
2026-07-31T06:38:05,TSLA,7410,1635,0.0,42224,810,0
2026-07-31T06:38:05,MSFT,-42009,-1027,-0.3333,143035,2044,0
2026-07-31T06:38:05,META,-49945,1391,0.0,91293,1701,0
2026-07-31T06:38:05,MSTR,-10971,-1466,-0.3333,17065,308,0
2026-07-31T06:38:05,ORCL,-2472,2329,-0.8182,70678,628,0
2026-07-31T06:38:05,NFLX,18394,5314,-0.6667,120088,1087,0
2026-07-31T06:38:05,AVGO,11707,-580,0.3333,28471,683,0
2026-07-31T06:38:05,CRWD,1767,-958,0.0,19705,326,0
2026-07-31T06:39:05,AAPL,36811,-9149,0.3333,576183,8076,0
2026-07-31T06:39:05,NVDA,45784,7798,0.0,260916,3276,0
2026-07-31T06:39:05,TSLA,6797,-613,-0.7778,46991,945,0
2026-07-31T06:39:05,MSFT,-42643,-634,-0.3333,152121,2233,0
2026-07-31T06:39:05,META,-53414,-3469,0.0,100120,1882,0
2026-07-31T06:39:05,MSTR,-12043,-1072,-0.3333,19655,373,0
2026-07-31T06:39:05,ORCL,-17831,-15359,-0.8182,88847,716,1
2026-07-31T06:39:05,NFLX,24499,6105,0.0,135895,1232,0
2026-07-31T06:39:05,AVGO,10354,-1353,0.0,30482,729,0
2026-07-31T06:39:05,CRWD,1973,206,0.0,20917,355,0
2026-07-31T06:40:05,AAPL,40676,3865,0.0,620128,8801,0
2026-07-31T06:40:05,NVDA,54635,8851,0.3333,281427,3567,0
2026-07-31T06:40:05,TSLA,7093,296,-0.7778,49697,1015,0
2026-07-31T06:40:05,MSFT,-43079,-436,0.0,160885,2394,0
2026-07-31T06:40:05,META,-55024,-1610,0.3333,107022,2034,0
2026-07-31T06:40:05,MSTR,-14795,-2752,-0.3333,22421,425,0
2026-07-31T06:40:05,ORCL,-763,17068,-0.6667,106781,834,0
2026-07-31T06:40:05,NFLX,28566,4067,0.0,147310,1324,0
2026-07-31T06:40:05,AVGO,11414,1060,-0.6667,32498,765,0
2026-07-31T06:40:05,CRWD,670,-1303,0.0,22854,390,0
2026-07-31T06:41:05,AAPL,31360,-9316,0.0,676172,9443,0
2026-07-31T06:41:05,NVDA,58768,4133,0.0,299018,3852,0
2026-07-31T06:41:05,TSLA,8009,916,0.0,52855,1114,0
2026-07-31T06:41:05,MSFT,-41404,1675,0.0,169060,2564,0
2026-07-31T06:41:05,META,-54040,984,-0.3333,117768,2234,0
